RPM	CT	CP
700.0	0.0478	0.017267
1031.578947	0.058642	0.026505
1363.157895	0.069483	0.035743
1694.736842	0.080325	0.044981
2026.315789	0.091166	0.054219
2357.894737	0.102008	0.063458
2689.473684	0.112849	0.072696
3021.052632	0.123691	0.081934
3352.631579	0.134532	0.091172
3684.210526	0.145374	0.10041
4015.789474	0.156215	0.109648
4347.368421	0.167057	0.118886
4678.947368	0.177898	0.128124
5010.526316	0.18874	0.137362
5342.105263	0.199581	0.1466
5673.684211	0.210423	0.155839
6005.263158	0.221264	0.165077
6336.842105	0.232106	0.174315
6668.421053	0.242947	0.183553
7000.0	0.253789	0.192791
