diam	pitch	short_name	stats_detail_file	full_name	side_pic	front_pic
8.5	6.0	ance	ance_8.5x6_static_2848cm.txt	ance_8.5x6		
8.5	7.0	ance	ance_8.5x7_static_2875cm.txt	ance_8.5x7		
10.0	12.0	ancf	ancf_10x12_static_0754od.txt	ancf_10x12		
10.0	4.0	ancf	ancf_10x4_static_0273od.txt	ancf_10x4		
10.0	5.0	ancf	ancf_10x5_static_0755od.txt	ancf_10x5		
10.0	6.0	ancf	ancf_10x6_static_0729od.txt	ancf_10x6		
10.0	7.0	ancf	ancf_10x7_static_0736od.txt	ancf_10x7		
10.0	8.0	ancf	ancf_10x8_static_0762od.txt	ancf_10x8		
11.0	10.0	ancf	ancf_11x10_static_0837od.txt	ancf_11x10		
11.0	12.0	ancf	ancf_11x12_static_0904od.txt	ancf_11x12		
11.0	4.0	ancf	ancf_11x4_static_0823od.txt	ancf_11x4		
11.0	6.0	ancf	ancf_11x6_static_0874od.txt	ancf_11x6		
11.0	7.0	ancf	ancf_11x7_static_0854od.txt	ancf_11x7		
11.0	8.0	ancf	ancf_11x8_static_0846od.txt	ancf_11x8		
12.0	10.0	ancf	ancf_12x10_static_0720od.txt	ancf_12x10		
12.0	13.0	ancf	ancf_12x13_static_0780od.txt	ancf_12x13		
12.0	5.0	ancf	ancf_12x5_static_0789od.txt	ancf_12x5		
12.0	6.0	ancf	ancf_12x6_static_0721od.txt	ancf_12x6		
12.0	8.0	ancf	ancf_12x8_static_0696od.txt	ancf_12x8		
12.0	9.0	ancf	ancf_12x9_static_0771od.txt	ancf_12x9		
13.0	10.0	ancf	ancf_13x10_static_0592od.txt	ancf_13x10		
13.0	11.0	ancf	ancf_13x11_static_0814od.txt	ancf_13x11		
13.0	5.0	ancf	ancf_13x5_static_0603od.txt	ancf_13x5		
13.0	8.0	ancf	ancf_13x8_static_0581od.txt	ancf_13x8		
14.0	12.0	ancf	ancf_14x12_static_0958od.txt	ancf_14x12		
14.0	6.0	ancf	ancf_14x6_static_0932od.txt	ancf_14x6		
14.0	8.0	ancf	ancf_14x8_static_0942od.txt	ancf_14x8		
14.0	9.0	ancf	ancf_14x9_static_0949od.txt	ancf_14x9		
15.0	10.0	ancf	ancf_15x10_static_0982od.txt	ancf_15x10		
15.0	6.0	ancf	ancf_15x6_static_0967od.txt	ancf_15x6		
15.0	8.0	ancf	ancf_15x8_static_0975od.txt	ancf_15x8		
16.0	6.0	ancf	ancf_16x6_static_0991od.txt	ancf_16x6		
16.0	8.0	ancf	ancf_16x8_static_0997od.txt	ancf_16x8		
9.0	4.0	ancf	ancf_9x4_static_0889od.txt	ancf_9x4		
9.0	5.0	ancf	ancf_9x5_static_0882od.txt	ancf_9x5		
9.0	6.0	ancf	ancf_9x6_static_0875od.txt	ancf_9x6		
9.0	7.0	ancf	ancf_9x7_static_0836od.txt	ancf_9x7		
9.0	4.0	apc29ff	apc29ff_9x4_static_2534rd.txt	apc29ff_9x4		
9.0	5.0	apc29ff	apc29ff_9x5_static_kt1025.txt	apc29ff_9x5	apc29ff_9x5-side.png	apc29ff_9x5-front.png
7.4	8.25	apccf	apccf_7.4x8.25_static_2883cm.txt	apccf_7.4x8.25		
7.8	6.0	apccf	apccf_7.8x6_static_2825cm.txt	apccf_7.8x6		
